,Mode of study,Level of study,Subject level,Subject code,Subject,Question,Responses,Population,Suppression reason,Option 1,Option 2,Option 3,Option 4,Option 5,This does not apply to me,Positivity measure (%),Benchmark (%),Difference (ppt),Standard deviation,Contribution to benchmark (%),Materially below benchmark (%),Broadly in line with benchmark (%),Materially above benchmark (%),Publication response headcount,Publication response rate (%)
23,All modes,All undergraduates,CAH1,CAH04,Psychology,Q23: To what extent are students' opinions about the course valued by staff?,30,30,,25,5,0,0,,0,100,79.9,20.1,6,1.1,0,0.2,99.8,30,100
24,All modes,All undergraduates,CAH1,CAH04,Psychology,Q24: How clear is it that students' feedback on the course is acted on?,30,30,,21,9,0,0,,0,100,66,34,7.4,1.1,0,0,100,30,100
25,All modes,All undergraduates,CAH1,CAH04,Psychology,Q25: How well does the students' union (association or guild) represent students' academic interests?,28,30,,10,16,2,0,,2,92.9,76.7,16.1,6.8,1.2,0.3,2,97.7,30,100
26,All modes,All undergraduates,CAH1,CAH04,Psychology,Q26: How well communicated was information about your university/college's mental wellbeing support services?,30,30,,10,19,0,1,,0,96.7,80.2,16.5,6.3,1.1,0.1,1.2,98.7,30,100
27,All modes,All undergraduates,CAH1,CAH04,Psychology,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",30,30,,16,12,1,1,,0,93.3,85.3,8,5.8,1.3,3.5,13.6,82.9,30,100
28,All modes,All undergraduates,CAH1,CAH04,Psychology,Theme 1: Teaching on my course,30,30,,,,,,,,99.2,84.1,15.1,5,1.1,0,0.6,99.4,30,100
29,All modes,All undergraduates,CAH1,CAH04,Psychology,Theme 2: Learning opportunities,30,30,,,,,,,,96,80.6,15.4,5.9,1.1,0.1,1.3,98.6,30,100
30,All modes,All undergraduates,CAH1,CAH04,Psychology,Theme 3: Assessment and feedback,30,30,,,,,,,,89.3,74.4,14.9,6.8,1.1,0.5,2.9,96.6,30,100
31,All modes,All undergraduates,CAH1,CAH04,Psychology,Theme 4: Academic support,30,30,,,,,,,,100,84.5,15.5,5.3,1.1,0,0.7,99.3,30,100
32,All modes,All undergraduates,CAH1,CAH04,Psychology,Theme 5: Organisation and management,30,30,,,,,,,,96.7,79.9,16.8,6,1.1,0.1,0.8,99.1,30,100
33,All modes,All undergraduates,CAH1,CAH04,Psychology,Theme 6: Learning resources,30,30,,,,,,,,93.9,89.3,4.6,5.2,1.1,8.6,25.8,65.6,30,100
34,All modes,All undergraduates,CAH1,CAH04,Psychology,Theme 7: Student voice,30,30,,,,,,,,100,76.9,23.1,6.4,1.1,0,0.1,99.9,30,100
35,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q01: How good are teaching staff at explaining things?,30,30,,20,10,0,0,,0,100,93.1,6.9,3.7,1.1,0.6,11.2,88.2,30,100
36,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q02: How often do teaching staff make the subject engaging?,30,30,,18,11,1,0,,0,96.7,78.8,17.8,6.1,1.1,0,0.5,99.4,30,100
37,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q03: How often is the course intellectually stimulating?,30,30,,19,11,0,0,,0,100,84.9,15.1,4.7,1.1,0,0.3,99.6,30,100
38,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q04: How often does your course challenge you to achieve your best work?,30,30,,20,10,0,0,,0,100,79.6,20.4,5.1,1.1,0,0,100,30,100
39,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,30,30,,21,8,1,0,,0,96.7,81.4,15.3,5.7,1.1,0.1,1.2,98.8,30,100
40,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,30,30,,21,8,1,0,,0,96.7,85,11.6,5.2,1.1,0.3,3.5,96.2,30,100
41,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,30,30,,25,5,0,0,,0,100,81.9,18.1,5.5,1.1,0,0.2,99.8,30,100
42,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q08: To what extent does your course have the right balance of directed and independent study?,30,30,,18,9,3,0,,0,90,77,13,6.9,1.1,1.2,5.2,93.6,30,100
43,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,30,30,,18,11,1,0,,0,96.7,77.8,18.9,5.8,1.1,0,0.2,99.8,30,100
44,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q10: How clear were the marking criteria used to assess your work?,30,30,,10,16,4,0,,0,86.7,72.8,13.8,7,1.1,1,4.4,94.6,30,100
45,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q11: How fair has the marking and assessment been on your course?,30,30,,9,18,3,0,,0,90,75.9,14.1,6.6,1.1,0.6,3.3,96.1,30,100
46,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q12: How well have assessments allowed you to demonstrate what you have learned?,30,30,,13,15,2,0,,0,93.3,76.5,16.8,6.4,1.1,0.1,1.1,98.8,30,100
47,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q13: How often have you received assessment feedback on time?,30,30,,10,14,5,1,,0,80,80.5,-0.5,7,1.1,39,27.8,33.2,30,100
48,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q14: How often does feedback help you to improve your work?,30,30,,14,15,1,0,,0,96.7,66.1,30.6,6.8,1.1,0,0,100,30,100
49,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q15: How easy was it to contact teaching staff when you needed to?,30,30,,21,9,0,0,,0,100,84.7,15.3,5.2,1.1,0,0.7,99.3,30,100
50,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q16: How well have teaching staff supported your learning?,30,30,,20,10,0,0,,0,100,84.3,15.7,5.4,1.1,0,0.7,99.3,30,100
51,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q17: How well organised is your course?,30,30,,11,18,1,0,,0,96.7,79.4,17.3,5.8,1.1,0,0.5,99.4,30,100
52,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q18: How well were any changes to teaching on your course communicated?,30,30,,15,14,1,0,,0,96.7,80.3,16.4,6.1,1.1,0.1,1.1,98.8,30,100
53,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q19: How well have the IT resources and facilities supported your learning?,28,30,,16,10,2,0,,2,92.9,86.4,6.5,5.7,1.1,5.6,18.5,75.8,30,100
54,All modes,All undergraduates,CAH2,CAH04-01,Psychology,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",28,30,,14,12,2,0,,2,92.9,91.5,1.4,4.9,1,21.7,37.5,40.8,30,100
55,All modes,All undergraduates,CAH2,CAH04-01,Psychology,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",29,30,,16,12,1,0,,1,96.6,89.7,6.8,5,1.1,3.1,16.3,80.7,30,100
56,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q22: To what extent do you get the right opportunities to give feedback on your course?,30,30,,25,5,0,0,,0,100,84.6,15.4,5.4,1.1,0,0.8,99.1,30,100
57,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q23: To what extent are students' opinions about the course valued by staff?,30,30,,25,5,0,0,,0,100,79.9,20.1,6,1.1,0,0.2,99.8,30,100
58,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q24: How clear is it that students' feedback on the course is acted on?,30,30,,21,9,0,0,,0,100,66,34,7.4,1.1,0,0,100,30,100
59,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q25: How well does the students' union (association or guild) represent students' academic interests?,28,30,,10,16,2,0,,2,92.9,76.7,16.1,6.8,1.2,0.3,2,97.7,30,100
60,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Q26: How well communicated was information about your university/college's mental wellbeing support services?,30,30,,10,19,0,1,,0,96.7,80.2,16.5,6.3,1.1,0.1,1.2,98.7,30,100
61,All modes,All undergraduates,CAH2,CAH04-01,Psychology,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",30,30,,16,12,1,1,,0,93.3,85.3,8,5.8,1.3,3.5,13.6,82.9,30,100
62,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Theme 1: Teaching on my course,30,30,,,,,,,,99.2,84.1,15.1,5,1.1,0,0.6,99.4,30,100
63,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Theme 2: Learning opportunities,30,30,,,,,,,,96,80.6,15.4,5.9,1.1,0.1,1.3,98.6,30,100
64,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Theme 3: Assessment and feedback,30,30,,,,,,,,89.3,74.4,14.9,6.8,1.1,0.5,2.9,96.6,30,100
65,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Theme 4: Academic support,30,30,,,,,,,,100,84.5,15.5,5.3,1.1,0,0.7,99.3,30,100
66,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Theme 5: Organisation and management,30,30,,,,,,,,96.7,79.9,16.8,6,1.1,0.1,0.8,99.1,30,100
67,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Theme 6: Learning resources,30,30,,,,,,,,93.9,89.3,4.6,5.2,1.1,8.6,25.8,65.6,30,100
68,All modes,All undergraduates,CAH2,CAH04-01,Psychology,Theme 7: Student voice,30,30,,,,,,,,100,76.9,23.1,6.4,1.1,0,0.1,99.9,30,100
69,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q01: How good are teaching staff at explaining things?,30,30,,20,10,0,0,,0,100,93.1,6.9,3.7,1.1,0.6,11.2,88.2,30,100
70,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q02: How often do teaching staff make the subject engaging?,30,30,,18,11,1,0,,0,96.7,78.8,17.8,6.1,1.1,0,0.5,99.4,30,100
71,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q03: How often is the course intellectually stimulating?,30,30,,19,11,0,0,,0,100,84.9,15.1,4.7,1.1,0,0.3,99.6,30,100
72,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q04: How often does your course challenge you to achieve your best work?,30,30,,20,10,0,0,,0,100,79.6,20.4,5.1,1.1,0,0,100,30,100
73,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q05: To what extent have you had the chance to explore ideas and concepts in depth?,30,30,,21,8,1,0,,0,96.7,81.4,15.3,5.7,1.1,0.1,1.2,98.8,30,100
74,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,30,30,,21,8,1,0,,0,96.7,85,11.6,5.2,1.1,0.3,3.5,96.2,30,100
75,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q07: To what extent have you had the chance to bring together information and ideas from different topics?,30,30,,25,5,0,0,,0,100,81.9,18.1,5.5,1.1,0,0.2,99.8,30,100
76,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q08: To what extent does your course have the right balance of directed and independent study?,30,30,,18,9,3,0,,0,90,77,13,6.9,1.1,1.2,5.2,93.6,30,100
77,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,30,30,,18,11,1,0,,0,96.7,77.8,18.9,5.8,1.1,0,0.2,99.8,30,100
78,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q10: How clear were the marking criteria used to assess your work?,30,30,,10,16,4,0,,0,86.7,72.8,13.8,7,1.1,1,4.4,94.6,30,100
79,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q11: How fair has the marking and assessment been on your course?,30,30,,9,18,3,0,,0,90,75.9,14.1,6.6,1.1,0.6,3.3,96.1,30,100
80,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q12: How well have assessments allowed you to demonstrate what you have learned?,30,30,,13,15,2,0,,0,93.3,76.5,16.8,6.4,1.1,0.1,1.1,98.8,30,100
81,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q13: How often have you received assessment feedback on time?,30,30,,10,14,5,1,,0,80,80.5,-0.5,7,1.1,39,27.8,33.2,30,100
82,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q14: How often does feedback help you to improve your work?,30,30,,14,15,1,0,,0,96.7,66.1,30.6,6.8,1.1,0,0,100,30,100
83,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q15: How easy was it to contact teaching staff when you needed to?,30,30,,21,9,0,0,,0,100,84.7,15.3,5.2,1.1,0,0.7,99.3,30,100
84,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q16: How well have teaching staff supported your learning?,30,30,,20,10,0,0,,0,100,84.3,15.7,5.4,1.1,0,0.7,99.3,30,100
85,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q17: How well organised is your course?,30,30,,11,18,1,0,,0,96.7,79.4,17.3,5.8,1.1,0,0.5,99.4,30,100
86,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q18: How well were any changes to teaching on your course communicated?,30,30,,15,14,1,0,,0,96.7,80.3,16.4,6.1,1.1,0.1,1.1,98.8,30,100
87,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q19: How well have the IT resources and facilities supported your learning?,28,30,,16,10,2,0,,2,92.9,86.4,6.5,5.7,1.1,5.6,18.5,75.8,30,100
88,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",28,30,,14,12,2,0,,2,92.9,91.5,1.4,4.9,1,21.7,37.5,40.8,30,100
89,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",29,30,,16,12,1,0,,1,96.6,89.7,6.8,5,1.1,3.1,16.3,80.7,30,100
90,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q22: To what extent do you get the right opportunities to give feedback on your course?,30,30,,25,5,0,0,,0,100,84.6,15.4,5.4,1.1,0,0.8,99.1,30,100
91,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q23: To what extent are students' opinions about the course valued by staff?,30,30,,25,5,0,0,,0,100,79.9,20.1,6,1.1,0,0.2,99.8,30,100
92,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q24: How clear is it that students' feedback on the course is acted on?,30,30,,21,9,0,0,,0,100,66,34,7.4,1.1,0,0,100,30,100
93,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q25: How well does the students' union (association or guild) represent students' academic interests?,28,30,,10,16,2,0,,2,92.9,76.7,16.1,6.8,1.2,0.3,2,97.7,30,100
94,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q26: How well communicated was information about your university/college's mental wellbeing support services?,30,30,,10,19,0,1,,0,96.7,80.2,16.5,6.3,1.1,0.1,1.2,98.7,30,100
95,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",30,30,,16,12,1,1,,0,93.3,85.3,8,5.8,1.3,3.5,13.6,82.9,30,100
96,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 1: Teaching on my course,30,30,,,,,,,,99.2,84.1,15.1,5,1.1,0,0.6,99.4,30,100
97,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 2: Learning opportunities,30,30,,,,,,,,96,80.6,15.4,5.9,1.1,0.1,1.3,98.6,30,100
98,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 3: Assessment and feedback,30,30,,,,,,,,89.3,74.4,14.9,6.8,1.1,0.5,2.9,96.6,30,100
99,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 4: Academic support,30,30,,,,,,,,100,84.5,15.5,5.3,1.1,0,0.7,99.3,30,100
100,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 5: Organisation and management,30,30,,,,,,,,96.7,79.9,16.8,6,1.1,0.1,0.8,99.1,30,100
101,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 6: Learning resources,30,30,,,,,,,,93.9,89.3,4.6,5.2,1.1,8.6,25.8,65.6,30,100
102,All modes,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 7: Student voice,30,30,,,,,,,,100,76.9,23.1,6.4,1.1,0,0.1,99.9,30,100
103,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q01: How good are teaching staff at explaining things?,134.6,213.4,,18.52,78.87,26.67,10.5,,0,72.4,88.3,-16,3.2,6.3,100,0,0,165,63
104,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q02: How often do teaching staff make the subject engaging?,134.6,213.4,,19.35,47.36,53.85,14,,0,49.6,73,-23.4,4,6.3,100,0,0,165,63
105,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q03: How often is the course intellectually stimulating?,134.6,213.4,,63.53,54.36,13.17,3.5,,0,87.6,87.7,0,2.6,6.3,16.9,67.1,16,165,63
106,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q04: How often does your course challenge you to achieve your best work?,134.6,213.4,,57.19,52.86,18.51,6,,0,81.8,83.3,-1.5,3,6.3,37.4,53.7,8.9,165,63
107,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,134.6,213.4,,41.19,62.03,24.34,7,,0,76.7,81,-4.3,3.3,6.3,70.3,27.7,2.1,165,63
108,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,134.6,213.4,,39.03,60.19,28.84,6.5,,0,73.7,85.8,-12,3.2,6.3,99.9,0.1,0,165,63
109,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,132.9,213.4,,33.86,61.52,27.01,10.5,,1.67,71.8,78.8,-7,3.5,6.2,89.9,9.7,0.4,165,63
110,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q08: To what extent does your course have the right balance of directed and independent study?,134.6,213.4,,28.86,47.52,40.18,18,,0,56.8,76.9,-20.2,3.8,6.3,100,0,0,165,63
111,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,134.6,213.4,,30.52,60.02,32.85,11.17,,0,67.3,75.8,-8.5,3.7,6.3,94.9,5,0.1,165,63
112,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q10: How clear were the marking criteria used to assess your work?,134.6,213.4,,21.18,43.86,45.68,23.84,,0,48.3,74.1,-25.7,3.9,6.3,100,0,0,165,63
113,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q11: How fair has the marking and assessment been on your course?,134.6,213.4,,12.18,63.7,35.01,23.67,,0,56.4,81.6,-25.2,3.7,6.3,100,0,0,165,63
114,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q12: How well have assessments allowed you to demonstrate what you have learned?,134.6,213.4,,14.68,62.53,36.01,21.34,,0,57.4,75.7,-18.3,3.8,6.3,100,0,0,165,63
115,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q13: How often have you received assessment feedback on time?,132.1,213.4,,35.19,59.36,28.51,9,,2.5,71.6,79,-7.4,3.5,6.2,91.6,8.1,0.3,165,63
116,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q14: How often does feedback help you to improve your work?,132.1,213.4,,28.18,51.7,37.68,14.5,,2.5,60.5,69.4,-8.9,3.9,6.2,94.9,4.9,0.2,165,63
117,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q15: How easy was it to contact teaching staff when you needed to?,131.4,213.4,,48.87,58.52,18,6,,3.17,81.7,87,-5.3,2.9,6.2,83.4,16.2,0.4,165,63
118,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q16: How well have teaching staff supported your learning?,131.7,213.4,,27.53,68.19,26,10,,2.84,72.7,84.7,-12,3.4,6.1,99.8,0.2,0,165,63
119,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q17: How well organised is your course?,134.6,213.4,,25.69,73.86,28.01,7,,0,74,81.8,-7.8,3.4,6.3,94.2,5.7,0.1,165,63
120,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q18: How well were any changes to teaching on your course communicated?,131.4,213.4,,26.19,63.69,32.01,9.5,,3.17,68.4,83.7,-15.3,3.6,6.3,100,0,0,165,63
121,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q19: How well have the IT resources and facilities supported your learning?,129.1,213.4,,37.86,71.03,13.67,6.5,,5.5,84.4,86.8,-2.4,2.9,6.2,48.6,46.8,4.6,165,63
122,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",125.9,213.4,,34.35,66.7,18.17,6.67,,8.67,80.3,88.2,-7.9,3.1,6.3,96.3,3.7,0,165,63
123,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",127.2,213.4,,39.85,74.37,7.5,5.5,,7.34,89.8,89.8,0,2.5,6.3,16,68.3,15.7,165,63
124,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q22: To what extent do you get the right opportunities to give feedback on your course?,134.6,213.4,,36.53,64.18,25.68,8.17,,0,74.8,85.7,-10.9,3.3,6.3,99.4,0.6,0,165,63
125,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q23: To what extent are students' opinions about the course valued by staff?,132.6,213.4,,19.51,53.69,35.19,24.17,,2,55.2,74.7,-19.5,3.9,6.3,100,0,0,165,63
126,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q24: How clear is it that students' feedback on the course is acted on?,130.2,213.4,,15.84,45.18,46.7,22.5,,3.34,46.9,68.6,-21.7,4.1,6.3,100,0,0,165,63
127,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q25: How well does the students' union (association or guild) represent students' academic interests?,119.9,213.4,,14.68,60.69,26.17,18.34,,12.68,62.9,74.2,-11.4,4.1,6.2,98.5,1.4,0,165,63
128,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,Q26: How well communicated was information about your university/college's mental wellbeing support services?,125.9,213.4,,27.35,54.69,26.01,17.84,,6.67,65.2,81.1,-15.9,3.8,6.2,100,0,0,165,63
129,All modes,All undergraduates,CAH1,CAH09,Mathematical sciences,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",129.6,213.4,,42.53,56.69,23.84,6.5,,3,76.6,86.8,-10.2,3.2,6.9,99.2,0.8,0,165,63
